Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,Elevation_m,Open Date,Latitude,Longitude,Registration_Count
"Rutland, VT",194 Woodstock Ave,Rutland,VERMONT,5701,USA,6,250.0,206,2020-09-05 00:00:00,43.617562,-72.957208,7816
"Salem, OR",3790 Center St NE,Salem,OREGON,97301,USA,12,250.0,64,2020-11-05 00:00:00,44.93894,-122.987919,64361
"Tahoe City, CA",140 N. Lake Blvd,Tahoe City,CALIFORNIA,96145,USA,6,150.0,1901,2019-11-15 00:00:00,39.167793,-120.14453,1256646
"Gainesville, FL",3217 SW 35th Blvd,Gainesville,FLORIDA,32608,USA,10,150.0,23,2019-04-17 00:00:00,29.624756,-82.376597,254878
"Veedersburg, IN",1020 E Second St,Veedersburg,INDIANA,47987,USA,8,250.0,189,2021-11-13 00:00:00,40.11273,-87.248021,26101
"Cerritos - Los Cerritos Center, CA",239 Los Cerritos Center,Cerritos,CALIFORNIA,90703,USA,20,72.0,17,2020-09-04 00:00:00,33.8643904,-118.0915723,1256646
"Tacna, AZ",9250 South Ave 40E,Tacna,ARIZONA,95352,USA,8,250.0,113,2020-03-24 00:00:00,32.6900433,-113.9535836,89798
"Manhattan - Vesey St, NY",250 Vesey St,New York,NEW YORK,10281,USA,4,72.0,6,2020-01-28 00:00:00,40.714062,-74.015837,131250
"Wallace, NC",River Village Place,Island Creek,NORTH CAROLINA,28466,USA,8,150.0,15,2018-06-16 00:00:00,34.756276,-77.948019,70164
"Florence, SC",2701 David H McLeod Blvd,Florence,SOUTH CAROLINA,29501,USA,18,150.0,39,2017-10-21 00:00:00,34.190371,-79.832575,20873
"Marshall, MI",15252 US Hwy 27 N,Marshall,MICHIGAN,49068,USA,8,150.0,289,2017-07-06 00:00:00,42.292009,-84.964122,50284
"Grand Rapids, MI",5531 28th St SE,Grand Rapids,MICHIGAN,49512,USA,8,150.0,227,2015-06-25 00:00:00,42.914231,-85.533057,50284
"Mobile, AL",3201 Airport Blvd,Mobile,ALABAMA,36606,USA,8,150.0,6,2015-04-16 00:00:00,30.671556,-88.118644,13047
"Alexandria, MN",4404 State Hwy 29,Alexandria,MINNESOTA,56308,USA,8,250.0,427,2020-02-14 00:00:00,45.850405,-95.388969,37050
