Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,Elevation_m,Open Date,Latitude,Longitude,Registration_Count
"Buellton, CA",555 McMurray Rd,Buellton,CALIFORNIA,93427,USA,10,150.0,114,2013-07-13 00:00:00,34.61456,-120.188387,1256646
"Corning, CA",950 Hwy 99,Corning,CALIFORNIA,96021,USA,6,150.0,87,2013-10-18 00:00:00,39.926454,-122.198393,1256646
"Barstow, CA",2812 Lenwood Rd,Barstow,CALIFORNIA,92311,USA,16,150.0,725,2012-11-19 00:00:00,34.849129,-117.085446,1256646
"Tifton, GA",1310 U.S. 82,Tifton,GEORGIA,31794,USA,8,150.0,92,2014-07-10 00:00:00,31.448847,-83.53221,92368
"Roseville, CA",1151 Galleria Blvd,Roseville,CALIFORNIA,95678,USA,7,150.0,66,2014-04-29 00:00:00,38.771208,-121.266149,1256646
"Oxnard, CA",2751 Park View Ct,Oxnard,CALIFORNIA,93036,USA,20,150.0,24,2014-09-24 00:00:00,34.238654,-119.177398,1256646
"Daytona Beach - Gateway North Dr, FL",2330 Gateway N Dr,Daytona Beach,FLORIDA,32117,USA,12,250.0,7,2022-11-19 00:00:00,29.223265,-81.09972,254878
"Port St. Lucie, FL",1701 NW Peacock Blvd,Port St. Lucie,FLORIDA,34986,USA,16,150.0,8,2013-07-25 00:00:00,27.313023,-80.406688,254878
"Dallas - Park Ln, TX",8080 Park Ln,Dallas,TEXAS,75231,USA,16,250.0,179,2021-11-17 00:00:00,32.867639,-96.767245,230125
"El Centro, CA",3451 S Dogwood Rd,El Centro,CALIFORNIA,92243,USA,12,150.0,-8,2014-12-28 00:00:00,32.760837,-115.532486,1256646
"Rosemont, IL",5220 Fashion Outlets Way,Rosemont,ILLINOIS,60018,USA,10,72.0,194,2018-11-06 00:00:00,41.975091,-87.866501,99573
"Indio, CA",42100 Jackson St,Indio,CALIFORNIA,92203,USA,46,250.0,-3,2014-09-26 00:00:00,33.741484,-116.215019,1256646
"Savannah, GA",400 Airways Ave,Savannah,GEORGIA,31408,USA,8,125.0,6,2014-01-15 00:00:00,32.135507,-81.212767,92368
"Holbrook, AZ",2096 Navajo Blvd,Holbrook,ARIZONA,86025,USA,12,250.0,1596,2014-01-15 00:00:00,34.922962,-110.145558,89798
"Mooresville, NC",125 Center Square Dr,Mooresville,NORTH CAROLINA,28117,USA,12,250.0,260,2021-11-19 00:00:00,35.587472,-80.873,70164
"Buckeye, AZ",416 S Watson Rd,Buckeye,ARIZONA,85326,USA,12,250.0,338,2014-03-20 00:00:00,33.443011,-112.556876,89798
"Atascadero, CA",6950 El Camino Real,Atascadero,CALIFORNIA,93422,USA,8,125.0,262,2013-07-03 00:00:00,35.48656,-120.66633,1256646
"Gila Bend, AZ",826 W Pima St,Gila Bend,ARIZONA,85337,USA,16,250.0,221,2014-05-17 00:00:00,32.943969,-112.733506,89798
"Yuma, AZ",310 N Madison Ave,Yuma,ARIZONA,85364,USA,12,250.0,43,2014-02-04 00:00:00,32.726686,-114.619093,89798
"Greenwich - Northbound, CT",3000 Merritt Pkwy,Greenwich,CONNECTICUT,6830,USA,4,150.0,82,2014-02-12 00:00:00,41.041538,-73.671661,31557
"Milford - Northbound, CT",1 CT Turnpike N,Milford,CONNECTICUT,6460,USA,2,120.0,19,2012-12-16 00:00:00,41.245814,-73.008988,31557
"Port Orange, FL",5302 S Williamson Blvd,Port Orange,FLORIDA,32128,USA,6,150.0,7,2013-09-13 00:00:00,29.108566,-81.034569,254878
"Worthington, MN",1290 Ryan's Rd,Worthington,MINNESOTA,56187,USA,6,120.0,478,2013-12-11 00:00:00,43.63385,-95.595647,37050
"Burlington, NC",1080 Piper Ln,Burlington,NORTH CAROLINA,27215,USA,8,120.0,197,2013-10-16 00:00:00,36.07079,-79.511211,70164
"Spearfish, SD",3275 Old Belle Rd,Spearfish,SOUTH DAKOTA,57783,USA,6,150.0,1077,2017-10-30 00:00:00,44.520607,-103.890924,1675
"Santee, SC",114 Bradford Blvd,Santee,SOUTH CAROLINA,29142,USA,8,150.0,39,2013-12-27 00:00:00,33.485858,-80.475763,20873
"Mishawaka, IN",6501 Grape Rd,Mishawaka,INDIANA,46545,USA,6,120.0,234,2013-12-11 00:00:00,41.7174,-86.1887,26101
"Angola, IN",3855 Indiana Rte 127,Angola,INDIANA,46703,USA,6,120.0,329,2013-12-09 00:00:00,41.699048,-85.000326,26101
"Richmond, CA",2157 Meeker Ave,Richmond,CALIFORNIA,94804,USA,12,150.0,4,2019-09-16 00:00:00,37.919969,-122.348976,1256646
"Farmington, NM",4200 Sierra Vista Dr,Farmington,NEW MEXICO,87402,USA,4,120.0,1673,2014-01-10 00:00:00,36.766371,-108.144047,10276
"Goodland, KS",2631 Enterprise Rd,Goodland,KANSAS,67735,USA,6,150.0,1129,2014-06-13 00:00:00,39.326253,-101.725171,11271
"Somerset, PA",1030 N Center Ave,Somerset,PENNSYLVANIA,15501,USA,6,150.0,641,2014-01-10 00:00:00,40.017383,-79.077117,70154
"Ossining, NY",214 South Highland Ave,Ossining,NEW YORK,10510,USA,12,150.0,21,2019-06-14 00:00:00,41.144011,-73.861472,131250
"San Marcos, TX",3939 Interstate 35,San Marcos,TEXAS,78666,USA,12,150.0,202,2013-08-17 00:00:00,29.827692,-97.979677,230125
"Columbus, TX",2535 Texas 71,Columbus,TEXAS,78934,USA,6,120.0,57,2013-10-07 00:00:00,29.690062,-96.537725,230125
"Mitchell, SD",1305 W Havens St,Mitchell,SOUTH DAKOTA,57301,USA,6,120.0,410,2013-12-18 00:00:00,43.701129,-98.04449999999996,1675
"San Luis Obispo - Higuera St, CA",3897 S Higuera St,San Luis Obispo,CALIFORNIA,93401,USA,20,250.0,38,2021-11-19 00:00:00,35.247841,-120.67193,1256646
"East Greenwich, RI",1000 Division St,East Greenwich,RHODE ISLAND,2818,USA,8,150.0,73,2014-01-06 00:00:00,41.660517,-71.497242,6396
"Maumee, OH",1391 Conant St,Maumee,OHIO,43537,USA,8,150.0,192,2014-01-13 00:00:00,41.57835,-83.66465,50393
"Pleasant Prairie, WI",11211 120th Ave,Pleasant Prairie,WISCONSIN,53158,USA,8,120.0,216,2014-02-13 00:00:00,42.518715,-87.950428,24943
"Cranberry Township, PA",1308 Freedom Rd,Cranberry Township,PENNSYLVANIA,16066,USA,6,150.0,312,2014-04-04 00:00:00,40.683982,-80.10839,70154
"Rapid City, SD",2200 N Maple Ave,Rapid City,SOUTH DAKOTA,57701,USA,4,120.0,1006,2013-11-25 00:00:00,44.105601,-103.212569,1675
"Lumberton, NC",5093 Fayetteville Rd,Lumberton,NORTH CAROLINA,28358,USA,8,150.0,40,2014-01-17 00:00:00,34.667629,-79.002343,70164
"Gallup, NM",111 Twin Buttes Rd,Gallup,NEW MEXICO,87301,USA,8,250.0,1970,2014-01-07 00:00:00,35.505278,-108.828094,10276
"St. Augustine - World Commerce Pkwy, FL",200 World Commerce Pkwy,St. Augustine,FLORIDA,32092,USA,12,250.0,10,2022-12-20 00:00:00,29.983752,-81.464138,254878
"El Centro - Wake Ave, CA",330 Wake Ave,El Centro,CALIFORNIA,92243,USA,8,250.0,-11,2022-05-22 00:00:00,32.7729,-115.5501,1256646
"Madison - East Towne Mall, WI",89 E Towne Mall,Madison,WISCONSIN,53704,USA,3,120.0,267,2014-01-13 00:00:00,43.12669,-89.306896,24943
"Truckee - Donner Pass, CA",11290 Donner Pass Rd,Truckee,CALIFORNIA,96161,USA,11,150.0,1967,2014-08-26 00:00:00,39.327507,-120.207373,1256646
"St. George, UT",1091 N Bluff St,St. George,UTAH,84770,USA,8,150.0,887,2014-08-14 00:00:00,37.12645,-113.601865,39998
"Ritzville, WA",105 Galbreath Way,Ritzville,WASHINGTON,99169,USA,4,150.0,570,2014-05-18 00:00:00,47.116294,-118.368328,152101
"Richfield, UT",20 W 1400 N,Richfield,UTAH,84701,USA,4,150.0,1660,2014-04-04 00:00:00,38.787942,-112.085316,39998
"Hays, KS",4101 Vine St,Hays,KANSAS,67601,USA,6,150.0,626,2014-06-12 00:00:00,38.900543,-99.319142,11271
"Green River, UT",1765 East Main St,Green River,UTAH,84525,USA,8,150.0,1240,2014-03-17 00:00:00,38.993577,-110.140513,39998
"Mauston, WI",640 Mc Evoy St,Mauston,WISCONSIN,53948,USA,6,125.0,265,2013-12-09 00:00:00,43.795551,-90.059358,24943
"La Crosse, WI",2845 Midwest Dr,Onalaska,WISCONSIN,54650,USA,6,120.0,219,2014-01-05 00:00:00,43.879042,-91.188428,24943
"Eau Claire, WI",4601 Keystone Crossing,Eau Claire,WISCONSIN,54701,USA,6,120.0,293,2014-01-30 00:00:00,44.77083,-91.43711,24943
"Lusk, WY",730 S Main St,Lusk,WYOMING,82225,USA,4,120.0,1529,2013-12-19 00:00:00,42.75625,-104.45267,1139
"Casa Grande, AZ",2453 E Florence Blvd,Casa Grande,ARIZONA,85194,USA,6,150.0,435,2014-09-30 00:00:00,32.87888,-111.6817421,89798
"Limon, CO",2221 6th St,Limon,COLORADO,80828,USA,14,250.0,1652,2014-06-21 00:00:00,39.2688421,-103.708604,90083
"Vista, CA",401 Vista Village Dr,Vista,CALIFORNIA,92083,USA,20,250.0,98,2022-06-17 00:00:00,33.2008,-117.2455,1256646
"Cordes Lakes, AZ",14925 Cordes Lakes Rd,Mayer,ARIZONA,86333,USA,8,150.0,1150,2014-10-14 00:00:00,34.327131,-112.118432,89798
"Billings, MT",1801 Majestic LN,Billings,MONTANA,59102,USA,4,150.0,978,2014-07-23 00:00:00,45.733716,-108.604573,4608
"Salina, KS",755 W Diamond Dr,Salina,KANSAS,67401,USA,6,150.0,371,2014-07-04 00:00:00,38.877342,-97.618699,11271
"Dayton, OH",9200 N Main St,Dayton,OHIO,45445,USA,8,150.0,257,2014-11-11 00:00:00,39.858702,-84.277027,50393
"Chattanooga, TN",1001 Airport Rd,Chattanooga,TENNESSEE,37421,USA,6,150.0,204,2014-09-04 00:00:00,35.038644,-85.19593,33221
"South Hill, VA",1791 N Mecklenburg Ave,South Hill,VIRGINIA,23970,USA,6,150.0,125,2014-08-07 00:00:00,36.748445,-78.103764,84936
"DeFuniak Springs, FL",10th St and Baldwin Ave,DeFuniak Springs,FLORIDA,32435,USA,5,150.0,76,2015-01-09 00:00:00,30.720702,-86.116677,254878
"San Jose - Saratoga Ave, CA",1320 Saratoga Ave,San Jose,CALIFORNIA,95129,USA,12,250.0,62,2022-11-30 00:00:00,37.3006,-121.9812,1256646
"New Boston, TX",1890 US Hwy 82,New Boston,TEXAS,75570,USA,16,250.0,112,2022-12-22 00:00:00,33.469659,-94.454696,230125
"Portland, OR",10280 NE Cascades Parkway,Portland,OREGON,97220,USA,16,250.0,7,2023-01-27 00:00:00,45.572631,-122.554017,64361
"Sagamore Beach, MA",22 Meetinghouse Ln,Sagamore Beach,MASSACHUSETTS,2562,USA,8,150.0,26,2014-10-27 00:00:00,41.781242,-70.540271,73768
"Bozeman, MT",2023 Commerce Way,Bozeman,MONTANA,59715,USA,4,150.0,1442,2014-10-23 00:00:00,45.700078,-111.062569,4608
"Brandon, FL",2400 W Brandon Blvd,Brandon,FLORIDA,33511,USA,8,150.0,12,2014-09-25 00:00:00,27.9408309,-82.3236485,254878
"Lake City, FL",2893 W US Highway 90,Lake City,FLORIDA,32055,USA,6,150.0,46,2014-08-20 00:00:00,30.181429,-82.679701,254878
"Charlotte, NC",2720 Mallard Creek Church RD,Charlotte,NORTH CAROLINA,28262,USA,8,150.0,232,2015-02-25 00:00:00,35.341213,-80.766023,70164
"Hallandale Beach, FL",701 N Federal Hwy,Hallandale Beach,FLORIDA,33009,USA,8,250.0,2,2022-11-18 00:00:00,25.993528,-80.143183,254878
"Turkey Lake, FL",Turkey Lake Service Plaza,Turkey Lake,FLORIDA,32835,USA,6,150.0,1,2014-11-21 00:00:00,28.514874,-81.500214,254878
"Baton Rouge, LA",3535 Perkins Rd,Baton Rouge,LOUISIANA,70808,USA,6,150.0,10,2015-01-22 00:00:00,30.423892,-91.154637,8150
"Phoenix - Agua Fria Fwy, AZ",2805 W Agua Fria Fwy,Phoenix,ARIZONA,85027,USA,16,150.0,417,2018-03-21 00:00:00,33.667011,-112.120891,89798
"Soledad - Front St, CA",100 Front St,Soledad,CALIFORNIA,93960,USA,8,250.0,56,2021-11-21 00:00:00,36.429889,-121.334477,1256646
"Auburn, MA",385 Southbridge St,Auburn,MASSACHUSETTS,1501,USA,8,150.0,154,2014-12-29 00:00:00,42.203764,-71.832954,73768
"Ocala, FL",4414 SW College Rd,Ocala,FLORIDA,34474,USA,8,150.0,23,2014-11-03 00:00:00,29.140985,-82.19395,254878
"Topeka, KS",5930 Huntoon St,Topeka,KANSAS,66614,USA,8,150.0,283,2014-10-17 00:00:00,39.044199,-95.76046,11271
"Big Timber, MT",228 Big Timber Loop Rd,Big Timber,MONTANA,59011,USA,4,150.0,1246,2014-10-22 00:00:00,45.836201,-109.943317,4608
"Lake Charles, LA",1772 W Prien Lake Rd,Lake Charles,LOUISIANA,70601,USA,6,150.0,3,2014-12-21 00:00:00,30.199071,-93.248782,8150
"Deerfield Beach, FL",20 SW 12th Ave,Deerfield Beach,FLORIDA,33442,USA,8,250.0,4,2020-02-25 00:00:00,26.317736,-80.119643,254878
"Fort Drum, FL",184 Florida's Turnpike,Okeechobee,FLORIDA,34972,USA,10,150.0,16,2014-11-26 00:00:00,27.601444,-80.822187,254878
"Country Club Hills, IL",4201 167th St,Country Club Hills,ILLINOIS,60478,USA,8,150.0,205,2014-11-08 00:00:00,41.584927,-87.721062,99573
"Salamanca, NY",777 Seneca Allegany Blvd,Salamanca,NEW YORK,14779,USA,8,120.0,429,2019-01-31 00:00:00,42.153067,-78.747726,131250
"Lynnwood, WA",2902 164th St SW,Lynnwood,WASHINGTON,98087,USA,10,72.0,131,2018-01-20 00:00:00,47.846712,-122.271391,152101
"Denver, CO",4310 Airport Way,Denver,COLORADO,80239,USA,10,150.0,1641,2014-11-08 00:00:00,39.775259,-104.794674,90083
"Denton, TX",2710 W University Dr,Denton,TEXAS,76201,USA,6,150.0,212,2015-11-04 00:00:00,33.231403,-97.166419,230125
"Butte, MT",2900 Harrison Ave,Butte,MONTANA,59701,USA,6,150.0,1666,2014-12-04 00:00:00,45.981226,-112.507161,4608
"Dubuque, IA",Hy-Vee 400 S Locust St,Dubuque,IOWA,52003,USA,8,150.0,186,2018-05-02 00:00:00,42.48773,-90.663624,9031
"Chula Vista - Telegraph Canyon Rd, CA",505 Telegraph Canyon Rd,Chula Vista,CALIFORNIA,91910,USA,12,250.0,65,2022-12-04 00:00:00,32.628946,-117.041103,1256646
"Superior, MT",205 E 4th Ave,Superior,MONTANA,59872,USA,4,150.0,835,2014-12-05 00:00:00,47.192149,-114.888901,4608
"Hooksett (north), NH",Interstate 93 N,Hooksett,NEW HAMPSHIRE,3106,USA,10,150.0,90,2015-01-20 00:00:00,43.109587,-71.474575,9861
"West Wendover, NV",810 Wendover Blvd,West Wendover,NEVADA,89883,USA,6,150.0,1335,2015-01-22 00:00:00,40.738399,-114.058998,47361
"Fort Washington, PA",1145 Virginia Dr,Fort Washington,PENNSYLVANIA,19034,USA,8,250.0,59,2023-05-25 00:00:00,40.139399,-75.172384,70154
"Brooklyn - N 12th Street, NY",113 N 12th St,Brooklyn,NEW YORK,11249,USA,4,72.0,6,2017-10-09 00:00:00,40.721861,-73.956629,131250
"Hooksett (south), NH",Interstate 93 S,Hooksett,NEW HAMPSHIRE,3106,USA,12,150.0,95,2015-01-15 00:00:00,43.108363,-71.477625,9861
"Marathon, FL",9400 Overseas Hwy,Marathon,FLORIDA,33050,USA,4,150.0,1,2015-05-02 00:00:00,24.725916,-81.047519,254878
"Rocklin (SC), CA",4361 Granite Dr,Rocklin,CALIFORNIA,95677,USA,18,150.0,98,2015-02-20 00:00:00,38.800537,-121.210485,1256646
"Chicago - S Pulaski Rd, IL",4433 S Pulaski Rd,Chicago,ILLINOIS,60632,USA,12,250.0,181,2022-10-31 00:00:00,41.8133,-87.72189,99573
"Tooele, UT",1568 East Saddleback Blvd,Tooele,UTAH,84074,USA,6,150.0,1290,2015-02-25 00:00:00,40.684486,-112.268818,39998
"Elko, NV",2755 Mountain City Hwy,Elko,NEVADA,89801,USA,6,150.0,1574,2015-02-03 00:00:00,40.836301,-115.790859,47361
"Lovelock, NV",150 Main St,Lovelock,NEVADA,89419,USA,4,150.0,1213,2015-01-28 00:00:00,40.179476,-118.472135,47361
"Inyokern, CA",1353 Brown Rd,Inyokern,CALIFORNIA,93527,USA,4,150.0,742,2015-03-20 00:00:00,35.646461,-117.812629,1256646
"San Mateo - Bridgepointe Pkwy, CA",2220 Bridgepointe Pkwy,San Mateo,CALIFORNIA,94404,USA,12,120.0,3,2017-11-01 00:00:00,37.558546,-122.284614,1256646
"Dedham (SC), MA",840 Providence Highway,Dedham,MASSACHUSETTS,2026,USA,8,120.0,29,2015-08-08 00:00:00,42.236417,-71.17825,73768
"Auburn - S College St, AL",110 E University Dr,Auburn,ALABAMA,36832,USA,12,250.0,186,2022-05-12 00:00:00,32.57645,-85.497641,13047
"Trinidad, CO",9960 Santa Fe Trail,Trinidad,COLORADO,81082,USA,9,250.0,1933,2015-07-30 00:00:00,37.134228,-104.519962,90083
"Effingham, IL",1200 North Keller Dr,Effingham,ILLINOIS,62401,USA,6,150.0,184,2015-03-28 00:00:00,39.137048,-88.563736,99573
"Redondo Beach, CA",2410 Marine Ave,Redondo Beach,CALIFORNIA,90278,USA,8,150.0,21,2015-01-20 00:00:00,33.894294,-118.367379,1256646
"Shamrock, TX",107 East 12th St,Shamrock,TEXAS,79079,USA,6,150.0,704,2015-02-20 00:00:00,35.226765,-100.24836,230125
"Weatherford, OK",1301 N Airport Rd by Lucille's Roadhouse,Weatherford,OKLAHOMA,73096,USA,6,150.0,485,2015-03-11 00:00:00,35.53859,-98.66012,22843
"Tucumcari, NM",2624 South Adams St,Tucumcari,NEW MEXICO,88401,USA,6,150.0,1253,2015-04-21 00:00:00,35.153963,-103.722539,10276
"Santa Rosa, NM",2516 Historic Rt 66,Santa Rosa,NEW MEXICO,88435,USA,6,150.0,1440,2015-03-13 00:00:00,34.947013,-104.647997,10276
"Wichita, KS",4760 S Broadway St,Wichita,KANSAS,67216,USA,6,150.0,388,2015-01-21 00:00:00,37.60878,-97.33314,11271
"St. Charles, MO",2021 Zumbehl Rd,St. Charles,MISSOURI,63303,USA,5,150.0,149,2015-04-15 00:00:00,38.782139,-90.532862,26861
"Council Bluffs, IA",3815 Metro Dr,Council Bluffs,IOWA,51501,USA,8,150.0,299,2015-03-11 00:00:00,41.220935,-95.835622,9031
"Cupertino, CA",19500 Vallco Parkway,Cupertino,CALIFORNIA,95014,USA,10,150.0,55,2018-03-29 00:00:00,37.324372,-122.009179,1256646
"Albany, GA",2825 Ledo Rd,Albany,GEORGIA,31707,USA,12,250.0,75,2022-08-12 00:00:00,31.62396,-84.215788,92368
"Auburn, AL",1627 Opelika Rd,Auburn,ALABAMA,36830,USA,6,150.0,222,2014-12-23 00:00:00,32.627837,-85.445105,13047
"Mojave - 16940 Hwy 14, CA",Anthony's Grill 16940 California 14 Hwy 14,Mojave,CALIFORNIA,93501,USA,12,250.0,866,2015-03-27 00:00:00,35.068595,-118.174576,1256646
"Lexington, KY",2155 Paul Jones Way,Lexington,KENTUCKY,40509,USA,20,250.0,310,2015-01-30 00:00:00,38.017955,-84.420664,11617
"Independence, MO",18001 Bass Pro Dr,Independence,MISSOURI,64055,USA,6,150.0,245,2015-02-17 00:00:00,39.040814,-94.369265,26861
"San Mateo, CA",1200 Park Pl,San Mateo,CALIFORNIA,94403,USA,8,150.0,3,2015-07-10 00:00:00,37.544632,-122.290188,1256646
"Las Vegas, NM",2500 N Grand Ave,Las Vegas,NEW MEXICO,87701,USA,6,150.0,1971,2015-09-14 00:00:00,35.622007,-105.20541,10276
"Albuquerque, NM",2600 Menaul Blvd NE,Albuquerque,NEW MEXICO,87107,USA,6,150.0,1558,2015-09-04 00:00:00,35.108962,-106.612794,10276
"Sheridan, WY",612 North Main St,Sheridan,WYOMING,82801,USA,4,150.0,1136,2015-07-15 00:00:00,44.804565,-106.956363,1139
"Norfolk, VA",5900 E Virginia Beach Blvd,Norfolk,VIRGINIA,23502,USA,6,150.0,5,2015-10-18 00:00:00,36.860525,-76.207467,84936
"Mountain View, CA",1401 N Shoreline Blvd,Mountain View,CALIFORNIA,94043,USA,12,150.0,6,2015-06-10 00:00:00,37.415344,-122.076607,1256646
"Sheboygan, WI","595 Taylor Dr, by Festival Foods",Sheboygan,WISCONSIN,53081,USA,8,150.0,200,2015-10-07 00:00:00,43.749912,-87.747073,24943
"Braintree, MA",250 Granite St,Braintree,MASSACHUSETTS,2184,USA,8,72.0,23,2019-07-25 00:00:00,42.222955,-71.021964,73768
"Newburgh, NY",1217 Route 300,Newburgh,NEW YORK,12550,USA,6,120.0,104,2015-06-23 00:00:00,41.499775,-74.071261,131250
"Oklahoma City, OK",7624 West Reno Ave #380,Oklahoma City,OKLAHOMA,73127,USA,8,150.0,372,2015-07-31 00:00:00,35.461704,-97.651445,22843
"Virginia Beach - Lynnhaven Pkwy, VA",1579 Lynnhaven Pkwy,Virginia Beach,VIRGINIA,23453,USA,8,250.0,5,2023-04-28 00:00:00,36.795662,-76.102691,84936
"Duluth, MN",200 W 1st St,Duluth,MINNESOTA,55802,USA,4,150.0,200,2015-07-17 00:00:00,46.784467,-92.10232,37050
"Newark, CA",3100 Newpark Mall,Newark,CALIFORNIA,94560,USA,16,72.0,9,2019-09-19 00:00:00,37.525905,-122.006624,1256646
"Houston, TX",14820 North Fwy,Houston,TEXAS,77090,USA,6,150.0,31,2015-07-09 00:00:00,29.980741,-95.421697,230125
"Santa Ana, CA",2800 N Main St,Santa Ana,CALIFORNIA,92705,USA,12,150.0,47,2016-12-06 00:00:00,33.776011,-117.872176,1256646
"Pendleton, OR",46510 Wildhorse Blvd,Pendleton,OREGON,97801,USA,8,150.0,437,2015-05-28 00:00:00,45.64655,-118.68198,64361
"Columbia, MO",915 Port Way,Columbia,MISSOURI,65201,USA,8,150.0,254,2015-09-11 00:00:00,38.957816,-92.252773,26861
"Asheville - 4 S Tunnel Rd, NC",4 S Tunnel Rd,Asheville,NORTH CAROLINA,28805,USA,8,250.0,635,2023-02-03 00:00:00,35.581912,-82.523642,70164
"Fayetteville, NC",1965 Cedar Creek Rd,Fayetteville,NORTH CAROLINA,28312,USA,16,150.0,28,2017-11-06 00:00:00,35.009527,-78.822416,70164
"Cadillac, MI",8605 34 Rd,Cadillac,MICHIGAN,49601,USA,8,150.0,393,2015-12-23 00:00:00,44.282551,-85.403096,50284
"Kennewick, WA",2811 W 10th Ave,Kennewick,WASHINGTON,99336,USA,8,150.0,167,2015-09-04 00:00:00,46.198085,-119.162734,152101
"Price, UT",925 West Westwood Blvd,Price,UTAH,84501,USA,8,150.0,1207,2015-10-16 00:00:00,39.600731,-110.831701,39998
"South Burlington, VT",222 Dorset St,South Burlington,VERMONT,5403,USA,8,150.0,93,2015-11-04 00:00:00,44.462814,-73.179316,7816
"Boise, ID",1426 S Entertainment Ave,Boise,IDAHO,83709,USA,8,150.0,837,2015-08-07 00:00:00,43.592292,-116.279467,8501
"Fountain Valley, CA",17900 Newhope St,Fountain Valley,CALIFORNIA,92708,USA,16,150.0,11,2015-08-28 00:00:00,33.70278,-117.934127,1256646
"Pecos, TX",N Frontage St,Pecos,TEXAS,79772,USA,8,150.0,786,2018-10-15 00:00:00,31.400223,-103.486931,230125
"Tallahassee, FL",1400 Village Square Blvd,Tallahassee,FLORIDA,32309,USA,6,150.0,63,2015-09-23 00:00:00,30.510935,-84.247838,254878
"Jarrell, TX",11810 N I-35,Jarrell,TEXAS,76537,USA,8,250.0,276,2023-05-25 00:00:00,30.814396,-97.610506,230125
"San Rafael, CA",340 3rd St,San Rafael,CALIFORNIA,94901,USA,8,250.0,3,2023-02-04 00:00:00,37.971375,-122.517193,1256646
"Buttonwillow, CA",20673 Tracy Ave,Buttonwillow,CALIFORNIA,93206,USA,10,150.0,90,2016-01-29 00:00:00,35.400105,-119.397796,1256646
"Sandy, OR",16625 SE 362nd Dr,Sandy,OREGON,97055,USA,8,150.0,236,2015-11-04 00:00:00,45.403531,-122.294242,64361
"Mammoth Lakes, CA",165 Old Mammoth Rd,Mammoth Lakes,CALIFORNIA,93546,USA,8,150.0,2390,2016-01-21 00:00:00,37.644544,-118.965875,1256646
"Beatty, NV",700 US-95,Beatty,NEVADA,89003,USA,8,150.0,1011,2016-02-09 00:00:00,36.913718,-116.754371,47361
"Twin Falls, ID","Twin Falls Tourist Center, 2015 Nielsen Point Place",Twin Falls,IDAHO,83301,USA,8,150.0,1098,2015-10-28 00:00:00,42.597887,-114.455249,8501
"Allentown, PA","Tilghman Square, 4680 Broadway",Allentown,PENNSYLVANIA,18104,USA,16,250.0,125,2016-01-21 00:00:00,40.588102,-75.559904,70154
"Ukiah, CA",310 S State St,Ukiah,CALIFORNIA,95482,USA,8,150.0,193,2016-01-13 00:00:00,39.1481,-123.208604,1256646
"Fresno, CA",6709 North Riverside Dr,Fresno,CALIFORNIA,93704,USA,10,150.0,91,2016-01-29 00:00:00,36.835455,-119.91058,1256646
"Amarillo, TX",8271 W Amarillo Blvd,Amarillo,TEXAS,79124,USA,8,150.0,1134,2015-11-05 00:00:00,35.189035,-101.931478,230125
"Binghamton, NY",1062 Front St,Binghamton,NEW YORK,13905,USA,8,150.0,262,2015-11-01 00:00:00,42.145553,-75.901755,131250
"Tannersville, PA",1000 Premium Outlets Dr,Tannersville,PENNSYLVANIA,18372,USA,8,150.0,284,2015-12-14 00:00:00,41.045431,-75.312244,70154
"Hinckley, MN",404 Fire Monument Rd,Hinckley,MINNESOTA,55037,USA,8,150.0,313,2015-10-21 00:00:00,46.009592,-92.93155,37050
"Baxter, MN",6967 Lake Forest Rd,Baxter,MINNESOTA,56425,USA,8,150.0,369,2015-10-21 00:00:00,46.378868,-94.256413,37050
"Kingsland, GA",Kingsland Welcome Center 1190 East Boone Ave,Kingsland,GEORGIA,31548,USA,8,150.0,9,2015-11-18 00:00:00,30.790764,-81.663729,92368
"Colorado Springs, CO",215 North Cascade Ave,Colorado Springs,COLORADO,80903,USA,8,150.0,1835,2015-12-29 00:00:00,38.837573,-104.824907,90083
"Tonopah, NV",171 Main St,Tonopah,NEVADA,89049,USA,8,150.0,1834,2016-06-03 00:00:00,38.069801,-117.232243,47361
"Victoria, TX",3107 South Laurent St,Victoria,TEXAS,77901,USA,6,150.0,23,2015-12-30 00:00:00,28.766853,-96.978988,230125
"Slidell, LA",Fremaux Town Center 1303 Town Center Pkwy,Slidell,LOUISIANA,70458,USA,8,150.0,3,2016-02-06 00:00:00,30.266552,-89.760156,8150
"Wytheville, VA",165 Malin Dr,Wytheville,VIRGINIA,24382,USA,6,150.0,683,2015-12-30 00:00:00,36.945795,-81.054406,84936
"Rocky Mount, NC",651 N Winstead Ave,Rocky Mount,NORTH CAROLINA,27804,USA,8,120.0,40,2013-11-08 00:00:00,35.972874,-77.84687,70164
"Louisville, KY",2120 Gardiner Ln,Louisville,KENTUCKY,40205,USA,8,150.0,151,2015-12-30 00:00:00,38.211846,-85.673087,11617
"Charlotte - Toringdon Way, NC",3429 Toringdon Way,Charlotte,NORTH CAROLINA,28277,USA,12,150.0,174,2019-11-09 00:00:00,35.069252,-80.842291,70164
"Pearl, MS",200 Bass Pro Dr,Pearl,MISSISSIPPI,39208,USA,8,150.0,79,2016-03-31 00:00:00,32.274159,-90.151048,3590
"Temecula, CA",40820 Winchester Rd,Temecula,CALIFORNIA,92591,USA,10,150.0,324,2016-05-10 00:00:00,33.52421,-117.152568,1256646
